employment_type,work_mode,experience_level,job_category,exp_years,city,country,skills_count,top_skill,second_skill
Full Time,On-site,Experienced,Marketing/PR/Advertising,5.0,Cairo,Egypt,3,Real Estate,Sales
Full Time,On-site,Manager,Accounting/Finance,10.0,Cairo,Egypt,8,Accounting,Communication
Full Time,On-site,Entry Level,Creative/Design/Art,1.0,Cairo,Egypt,6,CapCut,Strong sense of pacing
Full Time,On-site,Entry Level,Creative/Design/Art,1.0,Cairo,Egypt,4,Adobe illustrator,Adobe Photoshop
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,17.5,Cairo,Egypt,7,Construction,Marketing
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.5,Cairo,Egypt,7,Development,Sales Target
Full Time,On-site,Experienced,Creative/Design/Art,3.5,Cairo,Egypt,3,Installation,technical
Full Time,On-site,Experienced,Creative/Design/Art,3.5,Cairo,Egypt,3,Technical Office,Design
Full Time,On-site,Experienced,Marketing/PR/Advertising,7.5,Cairo,Egypt,8,Mobile App Marketing,Mobile App Growth
Full Time,On-site,Senior Management,Accounting/Finance,10.0,Jeddah,Saudi Arabia,8,التجارة الإلكترونية,خبرة في السوق السعودي
Full Time,Hybrid,Experienced,Engineering - Construction/Civil/Architecture,6.0,Alexandria,Egypt,4,Mechanical Engineering,Facility Management
Full Time,On-site,Experienced,Accounting/Finance,5.0,Giza,Egypt,3,Accounting,Tourism
Full Time,On-site,Experienced,Creative/Design/Art,4.0,Cairo,Egypt,5,Branding,Marketing
Full Time,On-site,Entry Level,Sales/Retail,1.5,Cairo,Egypt,5,Shopify,Commerce
Full Time,On-site,Experienced,Accounting/Finance,2.0,Qalubia,Egypt,3,Accounting,ERP
Full Time,On-site,Manager,Manufacturing/Production,7.5,Cairo,Egypt,8,Production Engineering,Lean Six Sigma
Full Time,On-site,Experienced,Accounting/Finance,8.5,Cairo,Egypt,3,Accounting,Finance
Full Time,On-site,Manager,Accounting/Finance,7.5,Alexandria,Egypt,4,Accounting,Finance
Full Time,On-site,Entry Level,Customer Service/Support,5.5,Cairo,Egypt,7,Hotels,Tourism
Full Time,On-site,Entry Level,Operations/Management,,Qalubia,Egypt,4,E-Commerce,E-Marketing
Full Time,On-site,Entry Level,Administration,3.0,Cairo,Egypt,8,Real Estate,Administration
Full Time,On-site,Manager,Operations/Management,7.5,Qalubia,Egypt,4,Engineering,Manufacturing
Full Time,On-site,Experienced,Tourism/Travel,5.5,Giza,Egypt,8,Tourism,Travel
Part Time,Remote,Experienced,IT/Software Development,5.0,Riyadh,Saudi Arabia,7,NET CORE,MySQL
Full Time,On-site,Experienced,Administration,6.5,Cairo,Egypt,7,Human Resources (HR),Talent acquisition
Full Time,Remote,Entry Level,Administration,2.0,Al Muharraq,Bahrain,8,Google Sheets,Administrative Support
Full Time,On-site,Experienced,Education/Teaching,4.0,Cairo,Egypt,2,Administration,Microsoft Office
Full Time,Remote,Entry Level,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,2,AutoCAD,Drafting
Full Time,On-site,Experienced,Administration,4.5,Cairo,Egypt,7,Customer Service,Administration
Full Time,On-site,Experienced,Operations/Management,5.0,Cairo,Egypt,3,"management skills,  word and Excel",not older than 32 years
Internship,Remote,Entry Level,Customer Service/Support,,Cairo,Egypt,7,Customer Care,Customer Service
Full Time,Remote,Experienced,Business Development,4.0,Cairo,Egypt,7,Business Development,Sales Skills
Full Time,Hybrid,Entry Level,Business Development,1.0,Cairo,Egypt,7,Sales,Sponsorship
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,6,AutoCAD,Communication
Full Time,On-site,Entry Level,Sales/Retail,,Cairo,Egypt,8,Sales,Real Estate
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,9.0,Cairo,Egypt,2,Architecture,Revit
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,17.5,Cairo,Egypt,3,Civil Engineering,Engineering
Full Time,On-site,Experienced,IT/Software Development,5.0,Cairo,Egypt,8,English B2,Machine Learning
Full Time,On-site,Experienced,IT/Software Development,2.0,Cairo,Egypt,8,Data Analysis,Machine Learning
Full Time,On-site,Experienced,IT/Software Development,4.0,Cairo,Egypt,8,Data Engineering,Python
Full Time,On-site,Senior Management,C-Level Executive/GM/Director,17.5,Cairo,Egypt,8,Strategic Thinking,Financial Management
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,9.0,Cairo,Egypt,6,Architecture,Construction Management
Full Time,Remote,Experienced,IT/Software Development,5.0,Dubai,United Arab Emirates,6,API,Information Technology (IT)
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,7.0,Cairo,Egypt,2,Site Engineering,Site Supervision
Full Time,On-site,Experienced,Human Resources,2.5,Cairo,Egypt,8,Human Resources,Hr coordinator
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,12.5,Cairo,Egypt,8,Sales,Projects
Full Time,On-site,Experienced,Administration,5.0,Alexandria,Egypt,2,Administration,Microsoft Office
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,9.5,Cairo,Egypt,7,Engineering,Business Development
Full Time,On-site,Experienced,Creative/Design/Art,4.5,Cairo,Egypt,8,Adobe illustrator,Adobe Photoshop
Full Time,On-site,Experienced,Manufacturing/Production,5.5,Cairo,Egypt,6,Food Manufacturing,Quality Control
Full Time,On-site,Experienced,Customer Service/Support,6.0,Cairo,Egypt,8,Sales Target,Sales
Full Time,On-site,Experienced,Operations/Management,4.0,Beheira,Egypt,3,Engineering,Manufacturing
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.0,Cairo,Egypt,5,MEP,Technical Office
Full Time,On-site,Entry Level,Logistics/Supply Chain,2.0,Cairo,Egypt,3,Logistics,Supply Chain
Full Time,On-site,Manager,Operations/Management,2.0,Cairo,Egypt,7,Public Relations (PR),Communication skills
Full Time,On-site,Entry Level,Sales/Retail,1.0,Gharbia,Egypt,4,Sales,Sales Target
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Cairo,Egypt,8,Mechanical Engineering,MEP
Full Time,On-site,Manager,Administration,3.0,Cairo,Egypt,7,Office management,Office Operations
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Alexandria,Egypt,5,Accessories,Procurement
Full Time,Remote,Experienced,IT/Software Development,5.0,Cairo,Egypt,7,AAPC CPC (Certified Professional Coder),AHIMA CCS (Certified Coding Specialist)
Full Time,On-site,Manager,Creative/Design/Art,6.0,Giza,Egypt,4,Adobe illustrator,Adobe Photoshop
Full Time,On-site,Experienced,Administration,5.0,Cairo,Egypt,6,HR Admin,Facility Management
Full Time,On-site,Experienced,Manufacturing/Production,5.0,Cairo,Egypt,6,CAD/CAM,CAD Software
Full Time,On-site,Experienced,Administration,4.5,Cairo,Egypt,6,HR Admin,Facility Management
Full Time,Remote,Experienced,Business Development,5.0,Cairo,Egypt,7,Account Management,B2B
Full Time,On-site,Experienced,Sales/Retail,4.5,Cairo,Egypt,8,Sales Negotiation,Customer Relationship Management
Full Time,Hybrid,Experienced,Hospitality/Hotels/Food Services,11.5,Cairo,Egypt,8,Unknown,Unknown
Full Time,On-site,Manager,Administration,5.0,Cairo,Egypt,6,HR Admin,Facility Management
Full Time,On-site,Entry Level,Business Development,1.0,Giza,Egypt,7,Sales Target,Customer Service
Full Time,On-site,Manager,Sales/Retail,8.5,Cairo,Egypt,3,Export,Export Sales
Full Time,Hybrid,Experienced,Medical/Healthcare,4.0,Giza,Egypt,8,CAD Software,CAD/CAM
Full Time,On-site,Experienced,Business Development,4.5,Cairo,Egypt,7,Technical Sales,Sales
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Alexandria,Egypt,5,Export,Microsoft Office
Full Time,On-site,Experienced,Administration,4.5,Sharqia,Egypt,8,Administration,Business Administration
Full Time,Remote,Experienced,IT/Software Development,4.5,Cairo,Egypt,2,Amazon AWS,saas
Full Time,On-site,Entry Level,IT/Software Development,,Cairo,Egypt,4,QA,Quality Assurance
Full Time,On-site,Manager,IT/Software Development,8.5,Cairo,Egypt,4,QA,Project Management
Full Time,On-site,Manager,Accounting/Finance,5.5,Sharqia,Egypt,7,Credit Management,Accounts Receivable
Full Time,On-site,Entry Level,Accounting/Finance,1.0,Sharqia,Egypt,6,Accounting,Accounts Receivable
Full Time,On-site,Experienced,Writing/Editorial,5.0,Cairo,Egypt,5,E-Marketing,Social Media
Full Time,On-site,Experienced,Accounting/Finance,4.0,Sharqia,Egypt,7,Accounting,IFRS
Full Time,Remote,Senior Management,Customer Service/Support,9.5,Cairo,Egypt,5,HR,Hiring
Full Time,On-site,Manager,IT/Software Development,7.5,Giza,Egypt,4,Computer Engineering,Computer Science
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,5,Accounting,Banking
Full Time,On-site,Manager,Accounting/Finance,7.5,Cairo,Egypt,5,Accounting,Finance
Full Time,On-site,Experienced,Operations/Management,6.0,Giza,Egypt,4,Engineering,Management
Full Time,On-site,Experienced,Engineering - Other,4.0,Giza,Egypt,4,Engineering,Health and Safety
Full Time,On-site,Senior Management,Project/Program Management,14.0,Cairo,Egypt,8,Agriculture,Production
Full Time,On-site,Senior Management,Logistics/Supply Chain,14.0,Cairo,Egypt,3,Agriculture,Export
Internship,On-site,Entry Level,Marketing/PR/Advertising,,Alexandria,Egypt,3,E-Marketing,Marketing
Full Time,On-site,Experienced,Human Resources,2.0,Sharqia,Egypt,3,Human Resources (HR),Microsoft Office
Full Time,On-site,Experienced,Business Development,1.5,Cairo,Egypt,7,Sales,sales skills
Full Time,On-site,Experienced,Installation/Maintenance/Repair,5.0,Cairo,Egypt,3,Unknown,Information Technology (IT)
Full Time,On-site,Experienced,Sales/Retail,4.0,Giza,Egypt,4,sales,Sales Target
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,7.5,Giza,Egypt,7,Electrical Engineering,Civil Engineering
Full Time,On-site,Experienced,Manufacturing/Production,5.0,Cairo,Egypt,6,Development,Production
Full Time,On-site,Experienced,IT/Software Development,7.5,Cairo,Egypt,8,PHP,Node.js
Full Time,On-site,Entry Level,Quality,3.0,Alexandria,Egypt,3,Quality Control,Quality Assurance
Full Time,On-site,Manager,Accounting/Finance,8.0,Cairo,Egypt,8,Financial Modeling,IFRS
Full Time,On-site,Entry Level,Engineering - Construction/Civil/Architecture,1.0,Cairo,Egypt,8,Drawing,Design
Full Time,Remote,Experienced,Creative/Design/Art,6.0,Cairo,Egypt,8,Software Development,PHP
Full Time,Hybrid,Experienced,IT/Software Development,3.5,Cairo,Egypt,3,Market Research,Marketing
Full Time,On-site,Experienced,Business Development,4.5,Alexandria,Egypt,4,Compliance,socail
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,8,Engineering,Technical Office
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Giza,Egypt,4,Engineering,Mechanical
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,7.5,Cairo,Egypt,8,Mechanical Engineering,Engineering
Full Time,On-site,Experienced,Installation/Maintenance/Repair,7.5,Cairo,Egypt,8,Electrical Engineering,Engineering
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.0,Cairo,Egypt,8,Architecture,Engineering
Full Time,On-site,Experienced,Administration,4.0,Cairo,Egypt,7,Warehousing,Supply Chain Management
Full Time,On-site,Experienced,Logistics/Supply Chain,3.0,Cairo,Egypt,8,Logistics,Procurement
Full Time,Hybrid,Experienced,Human Resources,4.0,Cairo,Egypt,8,recruitment,hiring
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,15.0,Cairo,Egypt,3,Architecture,Engineering
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,5,Human Resources,Human Resources (HR)
Full Time,On-site,Entry Level,Marketing/PR/Advertising,1.0,Cairo,Egypt,2,Marketing,Consumer Finance
Full Time,On-site,Experienced,Accounting/Finance,5.0,Alexandria,Egypt,7,Senior Stock Control,Cost Control
Full Time,On-site,Experienced,Purchasing/Procurement,5.0,Cairo,Egypt,8,Purchasing,Procurement
Full Time,On-site,Entry Level,Administration,3.5,Cairo,Egypt,7,Administration,Data Entry
Full Time,On-site,Experienced,Installation/Maintenance/Repair,5.0,Cairo,Egypt,4,Mechanical Engineering,Maintenance
Full Time,On-site,Experienced,Accounting/Finance,1.5,Cairo,Egypt,8,Accounting,Cost Control
Full Time,On-site,Manager,Installation/Maintenance/Repair,5.0,Cairo,Egypt,4,Engineering,Mechanical Engineering
Full Time,On-site,Manager,Sales/Retail,3.5,Beni Suef,Egypt,7,Sales,Sales Skills
Full Time,Remote,Entry Level,Accounting/Finance,1.0,Tripoli,Libya,4,Administration,Data Entry
Full Time,Hybrid,Manager,Accounting/Finance,12.5,Cairo,Egypt,7,Finance,Financial Analysis
Full Time,On-site,Experienced,Sales/Retail,3.0,Cairo,Egypt,4,Hardware Sales,Printing
Full Time,On-site,Entry Level,Operations/Management,2.0,Cairo,Egypt,7,Customer Service,Sales
Full Time,On-site,Experienced,Human Resources,2.5,Cairo,Egypt,6,HR Specialist,Human Resources (HR)
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,8,Customer service,fluent in English
Full Time,Hybrid,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,8,Call Center,Customer Service
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Alexandria,Egypt,8,Customer Service,Customer Care
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,8,Customer Care,Customer Service
Full Time,Hybrid,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,4,Communication,Customer Care
Full Time,On-site,Experienced,Human Resources,3.0,Cairo,Egypt,4,HR,Human Resources (HR)
Full Time,On-site,Experienced,Medical/Healthcare,2.0,Aswan,Egypt,3,Primamry health,Mobile clinics
Full Time,On-site,Experienced,Administration,6.0,Cairo,Egypt,2,Administration,Office management
Full Time,On-site,Experienced,Administration,5.0,Cairo,Egypt,2,Administration,Office management
Full Time,On-site,Experienced,Sales/Retail,4.5,Cairo,Egypt,7,Sales,Engineering
Full Time,On-site,Experienced,Manufacturing/Production,6.0,Giza,Egypt,2,Quality Control,Quality Assurance
Full Time,On-site,Experienced,Logistics/Supply Chain,2.0,Giza,Egypt,2,Logistics,Supply Chain
Full Time,Remote,Experienced,Accounting/Finance,5.0,Slough,United Kingdom,8,Xero,FRS 102
Full Time,On-site,Experienced,Medical/Healthcare,5.0,Cairo,Egypt,5,Medical,claims
Full Time,On-site,Experienced,Administration,3.5,Cairo,Egypt,3,Administration,Microsoft Office
Full Time,On-site,Experienced,R&D/Science,4.5,Cairo,Egypt,3,Lighting,Research
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,4,Accounting,Finance
Internship,Hybrid,Entry Level,Creative/Design/Art,0.5,Giza,Egypt,7,Adobe Photoshop,Design
Full Time,On-site,Experienced,Operations/Management,2.5,Cairo,Egypt,8,Odoo ERP,Microsoft Excel
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,7,Architecture,Civil Engineering
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,5,Accounting,Financial Management
Full Time,On-site,Entry Level,Administration,2.0,Cairo,Egypt,7,Administration,Communication
Full Time,Remote,Entry Level,Sales/Retail,3.0,Alexandria,Egypt,3,Marketing,Sales
Full Time,On-site,Manager,Operations/Management,7.5,Cairo,Egypt,8,Branch Management,Communication
Full Time,On-site,Entry Level,Accounting/Finance,0.5,Cairo,Egypt,7,Data Entry,Microsoft Excel
Full Time,On-site,Experienced,IT/Software Development,6.0,Giza,Egypt,8,Computer Science,Information Technology (IT)
Full Time,On-site,Entry Level,IT/Software Development,2.0,Alexandria,Egypt,8,Computer Science,Development
Full Time,Hybrid,Experienced,IT/Software Development,5.0,Cairo,Egypt,8,JavaScript,SaaS
Full Time,Hybrid,Experienced,Business Development,3.0,Cairo,Egypt,7,B2B Sales,Partnerships
Full Time,On-site,Experienced,Administration,6.0,Cairo,Egypt,3,Administration,Microsoft Office
Full Time,On-site,Experienced,Business Development,5.0,Giza,Egypt,7,Sales Target,Medical Sales
Full Time,On-site,Experienced,Sales/Retail,3.5,Cairo,Egypt,7,Electrical,Communication skills
Full Time,On-site,Experienced,Administration,6.5,Giza,Egypt,8,Management,Project Management
Full Time,On-site,Entry Level,Accounting/Finance,0.5,Cairo,Egypt,3,Accounting,AR
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Qalubia,Egypt,8,Sales,Sales Target
Freelance / Project,Remote,Entry Level,IT/Software Development,1.0,Alexandria,Egypt,8,Sales,Sales Target
Full Time,On-site,Experienced,Administration,5.0,Sharqia,Egypt,8,Office Administration,Communication
Full Time,On-site,Manager,Accounting/Finance,17.5,Cairo,Egypt,3,Financial Management,Accounting
Full Time,On-site,Senior Management,Accounting/Finance,20.0,Cairo,Egypt,6,Accounting,Finance
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,6,Architectural Engineering,Architecture
Full Time,On-site,Entry Level,Manufacturing/Production,3.0,Sharqia,Egypt,8,AutoCAD,Engineering
Full Time,On-site,Experienced,Writing/Editorial,12.5,Giza,Egypt,2,Corporate Law,Microsoft Office
Full Time,On-site,Manager,Accounting/Finance,5.5,Cairo,Egypt,8,Accounting,Communication
Full Time,On-site,Entry Level,Accounting/Finance,1.0,Cairo,Egypt,8,Problem Solving,Banking Operations
Full Time,On-site,Entry Level,Accounting/Finance,1.5,Cairo,Egypt,7,Accounting,Finance
Full Time,On-site,Entry Level,Business Development,1.0,Cairo,Egypt,7,Outdoor Sales,Sales Target
Full Time,On-site,Experienced,Administration,3.0,Cairo,Egypt,3,Administration,Microsoft Office
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Qalubia,Egypt,8,E-Commerce,Operations Management
Full Time,Hybrid,Experienced,IT/Software Development,9.5,Cairo,Egypt,8,Dynamics,Dynamics 365
Full Time,On-site,Manager,Installation/Maintenance/Repair,7.5,Cairo,Egypt,8,Engineering,Team Leadership
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Alexandria,Egypt,8,Electrical Engineering,Mechanical Engineering
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,8,Customer Care,Customer Support
Full Time,On-site,Experienced,Accounting/Finance,4.0,Gharbia,Egypt,8,Accounting,Finance
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,6,Accounting,Financial Analysis
Full Time,Hybrid,Experienced,Operations/Management,2.0,Cairo,Egypt,7,Administration,Marketing
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0,Cairo,Egypt,8,Architecture,technical
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,South Sinai,Egypt,8,AutoCAD Architecture,Microsoft Office
Full Time,Hybrid,Experienced,Sales/Retail,5.0,Giza,Egypt,4,Marketing,Product Management
Full Time,On-site,Experienced,Sales/Retail,4.0,Cairo,Egypt,8,Real Estate,Sales
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0,Cairo,Egypt,7,Construction,Construction Engineering
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,4.0,South Sinai,Egypt,8,Electrical Engineering,Engineering
Full Time,On-site,Entry Level,IT/Software Development,2.0,Giza,Egypt,8,ERP Systems,Technical Support
Full Time,On-site,Entry Level,Marketing/PR/Advertising,1.0,Giza,Egypt,8,Graphic Design,Adobe Photoshop
Full Time,On-site,Experienced,Administration,3.0,Cairo,Egypt,3,Microsoft Office,Administration
Full Time,On-site,Experienced,Customer Service/Support,2.0,Cairo,Egypt,3,Customer Service,Sales Target
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,7.5,New Valley,Egypt,8,Administration,Drilling Operations
Full Time,On-site,Experienced,Accounting/Finance,5.5,Cairo,Egypt,4,Accounting,Accounts Payable
Part Time,On-site,Experienced,Education/Teaching,5.0,Cairo,Egypt,2,Teaching,Training
Full Time,On-site,Entry Level,Sales/Retail,1.0,Alexandria,Egypt,8,Sales,Insurance Sales
Full Time,On-site,Experienced,R&D/Science,4.5,Cairo,Egypt,4,Engineering,Sales
Full Time,On-site,Manager,Customer Service/Support,9.0,Cairo,Egypt,8,Communication,Problem Solving
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,8,Property,Real Estate
Full Time,Hybrid,Entry Level,Customer Service/Support,2.0,Cairo,Egypt,5,Customer Care,Customer Support
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,2,Customer Service,Travel
Full Time,On-site,Experienced,Creative/Design/Art,3.0,Cairo,Egypt,7,Unknown,Unknown
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Giza,Egypt,3,Architecture,Civil Engineering
Full Time,Hybrid,Experienced,IT/Software Development,3.5,Cairo,Egypt,8,Python,Next.js
Full Time,On-site,Experienced,Administration,4.0,Cairo,Egypt,4,Attention to Detail,Multitasking
Full Time,On-site,Entry Level,Administration,2.0,Sharqia,Egypt,5,Attention to Detail,Office Administration
Full Time,On-site,Entry Level,IT/Software Development,1.0,Giza,Egypt,6,Computer Science,Development
Full Time,On-site,Experienced,Customer Service/Support,4.0,Sharqia,Egypt,7,Sales & Negotiation Skills,Presentation Skills
Full Time,On-site,Experienced,Human Resources,5.0,Cairo,Egypt,8,Human Resources (HR),Recruitment
Full Time,On-site,Experienced,R&D/Science,3.0,Giza,Egypt,7,HSE,NEBOSH
Full Time,Hybrid,Manager,Accounting/Finance,3.0,Cairo,Egypt,8,Accounting,Business Administration
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Giza,Egypt,8,Architecture,Engineering
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Alexandria,Egypt,8,Unknown,Export
Full Time,On-site,Experienced,Accounting/Finance,2.0,Giza,Egypt,8,Accounting,Finance
Full Time,On-site,Experienced,Manufacturing/Production,5.0,Cairo,Egypt,7,Mechanical Engineering,Design
Full Time,On-site,Manager,Business Development,9.5,Cairo,Egypt,7,Leasing,Marketing
Full Time,On-site,Experienced,Business Development,4.5,Cairo,Egypt,7,Sales Strategy,Account Management
Full Time,On-site,Experienced,Accounting/Finance,2.0,Qalubia,Egypt,4,Accounting,Finance
Full Time,On-site,Entry Level,Business Development,1.0,Assiut,Egypt,4,Business Development,Customer Service
Full Time,On-site,Experienced,Administration,2.0,Qalubia,Egypt,4,Administration,Customer Service
Full Time,On-site,Experienced,Human Resources,5.0,Giza,Egypt,6,Human Resources (HR),Microsoft Office
Full Time,On-site,Experienced,Administration,11.5,Cairo,Egypt,4,Project Management,follow up meetings
Full Time,On-site,Experienced,Human Resources,5.0,Giza,Egypt,6,Compensation,Human Resources (HR)
Full Time,On-site,Entry Level,Administration,2.0,Damietta,Egypt,8,Administration,HR
Full Time,On-site,Entry Level,Administration,2.0,Cairo,Egypt,6,Administration,Microsoft Office
Full Time,On-site,Experienced,Engineering - Oil & Gas/Energy,4.5,Cairo,Egypt,4,Renewable Energy,PV
Full Time,On-site,Manager,Customer Service/Support,7.0,An Nasiriyah,Iraq,7,Real Estate,Real Estate Sales
Full Time,On-site,Experienced,Logistics/Supply Chain,4.0,Alexandria,Egypt,4,Microsoft Office,OpenERP
Full Time,On-site,Manager,Human Resources,7.5,Cairo,Egypt,8,Talent Acquisition,Recruitment Strategy
